,tissue,method,computational_compartment_assignment,trickR,cellId
0,Bladder,10X,endothelial,Tissue,2813
1,Bladder,10X,epithelial,Tissue,4709
2,Bladder,10X,immune,Tissue,7312
3,Bladder,10X,stromal,Tissue,8404
4,Bladder,10X,undetermined,Tissue,184
5,Bladder,smartseq2,endothelial,Tissue,238
6,Bladder,smartseq2,epithelial,Tissue,277
7,Bladder,smartseq2,immune,Tissue,266
8,Bladder,smartseq2,stromal,Tissue,343
9,Bladder,smartseq2,undetermined,Tissue,37
10,Blood,10X,endothelial,Tissue,4573
11,Blood,10X,epithelial,Tissue,2534
12,Blood,10X,immune,Tissue,36895
13,Blood,10X,stromal,Tissue,21
14,Blood,10X,undetermined,Tissue,4995
15,Blood,smartseq2,endothelial,Tissue,292
16,Blood,smartseq2,epithelial,Tissue,165
17,Blood,smartseq2,immune,Tissue,1409
18,Blood,smartseq2,stromal,Tissue,32
19,Blood,smartseq2,undetermined,Tissue,152
20,Bone_Marrow,10X,endothelial,Tissue,746
21,Bone_Marrow,10X,epithelial,Tissue,936
22,Bone_Marrow,10X,immune,Tissue,8505
23,Bone_Marrow,10X,stromal,Tissue,24
24,Bone_Marrow,10X,undetermined,Tissue,75
25,Bone_Marrow,smartseq2,endothelial,Tissue,447
26,Bone_Marrow,smartseq2,epithelial,Tissue,280
27,Bone_Marrow,smartseq2,immune,Tissue,1377
28,Bone_Marrow,smartseq2,stromal,Tissue,52
29,Bone_Marrow,smartseq2,undetermined,Tissue,161
30,Eye,10X,endothelial,Tissue,878
31,Eye,10X,epithelial,Tissue,7823
32,Eye,10X,immune,Tissue,485
33,Eye,10X,stromal,Tissue,1010
34,Eye,10X,undetermined,Tissue,95
35,Eye,smartseq2,endothelial,Tissue,82
36,Eye,smartseq2,epithelial,Tissue,96
37,Eye,smartseq2,immune,Tissue,154
38,Eye,smartseq2,stromal,Tissue,41
39,Eye,smartseq2,undetermined,Tissue,52
40,Fat,10X,endothelial,Tissue,5847
41,Fat,10X,epithelial,Tissue,198
42,Fat,10X,immune,Tissue,2868
43,Fat,10X,stromal,Tissue,10777
44,Fat,10X,undetermined,Tissue,42
45,Fat,smartseq2,endothelial,Tissue,148
46,Fat,smartseq2,epithelial,Tissue,63
47,Fat,smartseq2,immune,Tissue,343
48,Fat,smartseq2,stromal,Tissue,83
49,Fat,smartseq2,undetermined,Tissue,95
50,Heart,10X,endothelial,Tissue,3796
51,Heart,10X,epithelial,Tissue,4756
52,Heart,10X,immune,Tissue,22
53,Heart,10X,stromal,Tissue,2506
54,Heart,10X,undetermined,Tissue,148
55,Heart,smartseq2,endothelial,Tissue,170
56,Heart,smartseq2,epithelial,Tissue,6
57,Heart,smartseq2,immune,Tissue,16
58,Heart,smartseq2,stromal,Tissue,83
59,Heart,smartseq2,undetermined,Tissue,2
60,Kidney,10X,endothelial,Tissue,402
61,Kidney,10X,epithelial,Tissue,7842
62,Kidney,10X,immune,Tissue,913
63,Kidney,10X,stromal,Tissue,22
64,Kidney,10X,undetermined,Tissue,92
65,Kidney,smartseq2,endothelial,Tissue,47
66,Kidney,smartseq2,epithelial,Tissue,120
67,Kidney,smartseq2,immune,Tissue,158
68,Kidney,smartseq2,stromal,Tissue,1
69,Kidney,smartseq2,undetermined,Tissue,44
70,Large_Intestine,10X,endothelial,Tissue,372
71,Large_Intestine,10X,epithelial,Tissue,6843
72,Large_Intestine,10X,immune,Tissue,4613
73,Large_Intestine,10X,stromal,Tissue,1117
74,Large_Intestine,10X,undetermined,Tissue,293
75,Large_Intestine,smartseq2,endothelial,Tissue,63
76,Large_Intestine,smartseq2,epithelial,Tissue,307
77,Large_Intestine,smartseq2,immune,Tissue,19
78,Large_Intestine,smartseq2,stromal,Tissue,18
79,Large_Intestine,smartseq2,undetermined,Tissue,35
80,Liver,10X,endothelial,Tissue,978
81,Liver,10X,epithelial,Tissue,4352
82,Liver,10X,immune,Tissue,2503
83,Liver,10X,stromal,Tissue,135
84,Liver,10X,undetermined,Tissue,85
85,Liver,smartseq2,endothelial,Tissue,49
86,Liver,smartseq2,epithelial,Tissue,41
87,Liver,smartseq2,immune,Tissue,412
88,Liver,smartseq2,stromal,Tissue,19
89,Liver,smartseq2,undetermined,Tissue,34
90,Lung,10X,endothelial,Tissue,7872
91,Lung,10X,epithelial,Tissue,18299
92,Lung,10X,immune,Tissue,15135
93,Lung,10X,stromal,Tissue,870
94,Lung,10X,undetermined,Tissue,86
95,Lung,smartseq2,endothelial,Tissue,435
96,Lung,smartseq2,epithelial,Tissue,419
97,Lung,smartseq2,immune,Tissue,286
98,Lung,smartseq2,stromal,Tissue,419
99,Lung,smartseq2,undetermined,Tissue,35
100,Lymph_Node,10X,endothelial,Tissue,3302
101,Lymph_Node,10X,epithelial,Tissue,4206
102,Lymph_Node,10X,immune,Tissue,42430
103,Lymph_Node,10X,stromal,Tissue,162
104,Lymph_Node,10X,undetermined,Tissue,791
105,Lymph_Node,smartseq2,endothelial,Tissue,220
106,Lymph_Node,smartseq2,epithelial,Tissue,273
107,Lymph_Node,smartseq2,immune,Tissue,1743
108,Lymph_Node,smartseq2,stromal,Tissue,25
109,Lymph_Node,smartseq2,undetermined,Tissue,123
110,Mammary,10X,endothelial,Tissue,639
111,Mammary,10X,epithelial,Tissue,5831
112,Mammary,10X,immune,Tissue,2190
113,Mammary,10X,stromal,Tissue,2050
114,Mammary,10X,undetermined,Tissue,108
